Change component parameters: Designator = "L1" ("L1"); Footprint = "L1515 - COILCRAFT"; UniqueID = "\GWZNTPKR\FSJKUGJR" ("\GWZNTPKR\FSJKUGJR")
Change component parameters (AddParameter): Name = ".Max DC Current"; Value = "1.85A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".RMS Current (Irms)"; Value = "1.85A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".Value"; Value = "33µH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "1210"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "3225"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Fixed Inductors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.octopart.com:443/B82464P4333M000-EPCOS-datasheet-155394167.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.octopart.com:443/B82464P4333M000-EPCOS-datasheet-155394167.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.octopart.com:443/B82464P4333M000-EPCOS-datasheet-13705212.pdf?src-supplier=EPCOS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.octopart.com:443/B82464P4333M000-EPCOS-datasheet-13705212.pdf?src-supplier=EPCOS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.octopart.com:443/B82464P4333M000-EPCOS-datasheet-66576979.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.octopart.com:443/B82464P4333M000-EPCOS-datasheet-66576979.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.octopart.com:443/B82464P4333M000-EPCOS-datasheet-34142370.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.octopart.com:443/B82464P4333M000-EPCOS-datasheet-34142370.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.octopart.com:443/B82464P4333M000-EPCOS-datasheet-11522271.pdf?src-supplier=element14+APAC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.octopart.com:443/B82464P4333M000-EPCOS-datasheet-11522271.pdf?src-supplier=element14+APAC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-181268619.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-181268619.pdf?src-supplier=IHS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-155380433.pdf?src-supplier=TDK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-155380433.pdf?src-supplier=TDK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-97126320.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-97126320.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9Description"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-81471259.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9URL"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-81471259.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10Description"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-136874827.pdf?src-supplier=TME"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10URL"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-136874827.pdf?src-supplier=TME"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink11Description"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-61115007.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink11URL"; Value = "https://datasheet.octopart.com:443/NLV32T-3R3J-EF-TDK-datasheet-61115007.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
